report_file,manuscript_location,manuscript_claim,citation_key,attributed_source,source_file_used,source_text_or_best_match,assessment,notes
01_intro_audit.md,paper/main.tex:46,"Yaari benchmark: uncertain lifetime, no bequest motive, actuarially fair annuity should fully annuitize wealth.",`yaari1965`,Yaari (1965),`potential references/Yaari1965.txt`,`consumer's assets ... held in actuarial notes`,supported,Fair paraphrase of the core result; the source states the annuity/actuarial-note equivalence directly.
01_intro_audit.md,paper/main.tex:46,Pashchenko omits the health-mortality / survival-pessimism channels and focuses on other annuitization frictions.,`pashchenko2013`,Pashchenko (2013),`potential references/Pashchenko2013.txt`,"`preannuitized wealth, minimum annuity purchase requirement, illiquidity of housing wealth, and bequest motives`",partially supported,"The source scope is accurate, but the omission of the health/survival channels is inferred from what the paper studies rather than stated explicitly."
01_intro_audit.md,paper/main.tex:46,Peijnenburg omits the health-mortality / survival-pessimism channels and focuses on other annuitization frictions.,`peijnenburg2016`,"Peijnenburg, Nijman, and Werker (2016)",`potential references/Peijnenburg_Nijman_Werker2016.txt`,"`incomplete annuity menus, background risk, bequest motives, and default risk`",partially supported,The source accurately lists the modeled channels; the manuscript’s “omitted channel” framing is a cross-paper inference.
01_intro_audit.md,paper/main.tex:46,"Reichling-Smetters identify correlated health shocks, mortality, and medical costs as an annuity-demand channel.",`reichlingsmetters2015`,Reichling and Smetters (2015),`potential references/Reichling_Smetters2015.txt`,`stochastic mortality and correlated medical costs`,supported,Fair representation of the mechanism the paper develops.
01_intro_audit.md,paper/main.tex:46,O'Dea-Sturrock document pessimistic subjective survival beliefs relative to actuarial tables.,`odeasturrock2023`,O'Dea and Sturrock (2023),`potential references/ODea_Sturrock2023.txt`,"`Overall, pessimism dominates`",supported,Fair summary of the survey evidence and the paper’s central finding.
01_intro_audit.md,paper/main.tex:63,"Yaari result: with no bequest motive, the consumer should convert wealth into a life annuity.",`yaari1965`,Yaari (1965),`potential references/Yaari1965.txt`,`bequests to be automatically equal to zero`,supported,The manuscript’s wording is a concise paraphrase of the case in which actuarial notes dominate regular notes.
01_intro_audit.md,paper/main.tex:63,Davidoff extends Yaari to incomplete markets and a wide set of conditions.,`davidoff2005`,"Davidoff, Brown, and Diamond (2005)",`potential references/Davidoff_Brown_Diamond2005.txt`,`consumer without a bequest motive annuitizes all savings`,supported,Fair characterization; the theorem/corollary explicitly generalize Yaari beyond the simplest benchmark.
01_intro_audit.md,paper/main.tex:65,Lockwood reports voluntary annuity ownership of about 3.6 percent among single retirees.,`lockwood2012`,Lockwood (2012),`potential references/Lockwood2012.txt`,`Only about 3.6 percent of the sample owns a life annuity`,supported,Directly supported by the sample description and Table 4 discussion.
01_intro_audit.md,paper/main.tex:65,Dushi and Webb show voluntary annuitization is close to absent in HRS/AHEAD-type data.,`dushiwebb2004`,Dushi and Webb (2004),`potential references/Dushi_Webb2004.txt`,`almost total absence of voluntary annuitization`,partially supported,"Fair in substance, but the paper does not give the manuscript’s exact 3-6 percent range."
01_intro_audit.md,paper/main.tex:65,"Poterba, Venti, and Wise support the claim that voluntary ownership is 3-6 percent.",`poterbaventiwise2011`,"Poterba, Venti, and Wise (2011)",`potential references/Poterba_Venti_Wise2011.txt`,`require minimum investments`,not supported,"This paper supports liquidity/minimum-investment frictions, not the cited ownership-rate range."
01_intro_audit.md,paper/main.tex:67,Lockwood shows bequest motives reduce the appeal of annuities and can eliminate purchases.,`lockwood2012`,Lockwood (2012),`potential references/Lockwood2012.txt`,`bequest motives can eliminate purchases of available annuities`,supported,Accurate and well aligned with the paper’s main result.
01_intro_audit.md,paper/main.tex:67,"Kopczuk and Lupton document widespread, economically meaningful bequest motives.",`kopczuklupton2007`,Kopczuk and Lupton (2007),`potential references/Kopczuk_Lupton2007.txt`,`roughly three-fourths ... has a bequest motive`,supported,The manuscript uses this appropriately as evidence that bequest motives are prevalent.
01_intro_audit.md,paper/main.tex:67,Mitchell et al. support the 80-85 cent money's-worth range.,`mitchell1999`,Mitchell et al. (1999),`potential references/Mitchell_etal1999.txt`,`between 80 and 85 cents`,supported,Directly supported; the manuscript’s rounded range is faithful.
01_intro_audit.md,paper/main.tex:67,Wettstein et al. support the claim that immediate-annuity money's worth is around 0.80.,`wettstein2021`,Wettstein et al. (2021),`potential references/Munnell_Wettstein2021.txt`,`fluctuated around 0.80`,supported,"The local file name differs from the bib key, but it is the matching working paper."
01_intro_audit.md,paper/main.tex:67,"Finkelstein and Poterba show adverse selection lowers money's worth, with compulsory-market selection about half the voluntary-market level.",`finkelsteinpoterba2002`,Finkelstein and Poterba (2002),`potential references/Finkelstein_Poterba2002.txt`,`0.865 ... about one half of that in the voluntary market`,partially supported,"Fair in direction, but the manuscript’s 80-85 cent shorthand is a synthesis across studies rather than this paper alone."
01_intro_audit.md,paper/main.tex:67,Hosseini shows heterogeneous mortality interacts with adverse selection to amplify loads.,`hosseini2015`,Hosseini (2015),`not found locally`,`source file not available locally`,cannot verify locally,"The bibliography contains the citation, but no matching local paper file was present to check the claim."
01_intro_audit.md,paper/main.tex:67,"De Nardi, French, and Jones show medical expense risk raises precautionary saving.",`denardi2010`,"De Nardi, French, and Jones (2010)",`potential references/DeNardi_French_Jones2010.txt`,`The risk of living long and having high medical expenses late in life significantly increases savings`,supported,Fair representation of the paper’s core result.
01_intro_audit.md,paper/main.tex:67,Reichling-Smetters show health shocks raise mortality risk and medical costs together.,`reichlingsmetters2015`,Reichling and Smetters (2015),`potential references/Reichling_Smetters2015.txt`,`stochastic mortality probabilities also introduces a correlated risk`,supported,Accurate summary of the correlated-risk mechanism.
01_intro_audit.md,paper/main.tex:67,O'Dea and Sturrock document systematically pessimistic survival beliefs.,`odeasturrock2023`,O'Dea and Sturrock (2023),`potential references/ODea_Sturrock2023.txt`,"`Overall, pessimism dominates`",supported,Fair summary of the subjective-survival result.
01_intro_audit.md,paper/main.tex:69,"Inkmann, Lopes, and Michaelides find low annuity demand but strong sensitivity to preference parameters.",`inkmann2011`,"Inkmann, Lopes, and Michaelides (2011)",`potential references/Inkmann_Lopes_Michaelides2011.txt`,`predicted annuity demand levels comparable to the data`,supported,"The manuscript slightly compresses the paper’s message, but the substance is accurate."
01_intro_audit.md,paper/main.tex:69,Pashchenko's model still predicts about 20 percent participation.,`pashchenko2013`,Pashchenko (2013),`potential references/Pashchenko2013.txt`,`participation drops from 97% to around 20%`,supported,Directly supported by the reported sequential decomposition.
01_intro_audit.md,paper/main.tex:69,Peijnenburg et al. conclude that the annuity puzzle remains a puzzle.,`peijnenburg2016`,"Peijnenburg, Nijman, and Werker (2016)",`potential references/Peijnenburg_Nijman_Werker2016.txt`,`full annuitization remains optimal`,supported,Fair summary of the abstract and the paper’s main conclusion.
01_intro_audit.md,paper/main.tex:69,Prior unified models omitted the health-mortality correlation channel.,`reichlingsmetters2015`,Reichling and Smetters (2015),`potential references/Reichling_Smetters2015.txt`,`correlated risk`,partially supported,"The channel is correctly identified, but the omission claim is a cross-paper inference rather than a statement from this source."
01_intro_audit.md,paper/main.tex:69,"Tharp survey says the channels jointly rationalize low observed demand, but a unified structural model is still missing.",`tharp2025survey`,"Tharp (2025), survey draft",`docs/dissolving_annuity_puzzle_survey.md`,`multiple channels jointly rationalize low observed demand`,supported,Fair representation of the local survey draft; this is the best local match for the cited unpublished work.
01_intro_audit.md,paper/main.tex:73,Lockwood supports the observed 3.6 percent ownership benchmark used in the paper.,`lockwood2012`,Lockwood (2012),`potential references/Lockwood2012.txt`,`3.6 percent of the sample owns a life annuity`,supported,Directly supported.
01_intro_audit.md,paper/main.tex:73,Chetty (2006) supports the empirically plausible gamma range used in the sensitivity check.,`chetty2006`,Chetty (2006),`not found locally`,`source file not available locally`,cannot verify locally,"The bibliography has the citation, but no matching local source file was available for verification."
01_intro_audit.md,paper/main.tex:79,Tharp forthcoming argues qualitatively that the accumulated evidence substantially accounts for the annuity puzzle.,`tharpforthcoming`,Tharp forthcoming survey,`docs/dissolving_annuity_puzzle_survey.md`,`the aggregate puzzle ... should be retired`,partially supported,"The local survey draft supports the general thrust, but the exact bibliography key is missing from `paper/bibliography.bib`."
02_model_calibration_audit.md,`paper/main.tex:105-110`,"The bequest utility uses the De Nardi style ""luxury good"" shifter, with `kappa` determining how bequest utility varies with wealth.",`denardi2004`,"De Nardi (2004), *Wealth Inequality and Intergenerational Links*",[Lockwood2012.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Lockwood2012.txt); [De Nardi 2004 PDF](https://users.nber.org/~denardim/research/denardi.pdf),Lockwood's appendix explicitly classifies bequests as luxury goods when the threshold/shifter parameter is positive; De Nardi's paper motivates voluntary bequests as a source of wealth concentration and intergenerational links.,partially supported,"The luxury-good characterization is fair in the De Nardi/Lockwood lineage, but the exact phrasing is clearer in Lockwood's appendix than in the original De Nardi article text I could inspect."
02_model_calibration_audit.md,"`paper/main.tex:110-112, 294-295, 325`","The DFJ bequest parameters are taken directly from Lockwood's HRS calibration, and using one parameter with the other replaced is not a valid counterfactual.",`lockwood2012`,"Lockwood (2012), *Bequest Motives and the Annuity Puzzle*",[Lockwood2012.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Lockwood2012.txt),"Lockwood calibrates bequest motives from HRS-based annuity simulations and emphasizes that the bequest motive is jointly parameterized; however, the extracted text does not surface the exact `theta = 56.96` and `kappa = 272,628` values.",cannot verify locally,"The manuscript may well be using the correct code values, but the local text I could inspect does not expose the exact numeric pair, so the claim cannot be fully verified from the saved source text alone."
02_model_calibration_audit.md,"`paper/main.tex:120, 327`",Health transition matrices are calibrated to HRS panel data following De Nardi et al.,`denardi2010`,"De Nardi, French, and Jones (2010), *Why Do the Elderly Save? The Role of Medical Expenses*",[DeNardi_French_Jones2010.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/DeNardi_French_Jones2010.txt),The paper estimates stochastic mortality and medical-spending processes from HRS/AHEAD data and uses health status as a key state variable in those processes.,partially supported,"The citation is directionally right, but the manuscript's three-state transition matrix and its specific health-state mapping are the authors' extension, not something stated in the cited paper."
02_model_calibration_audit.md,"`paper/main.tex:125, 298, 327`","Baseline survival probabilities come from the SSA period life table used by Lockwood, and the model is truncated at age 110.",`lockwood2012`,"Lockwood (2012), *Bequest Motives and the Annuity Puzzle*",[Lockwood2012.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Lockwood2012.txt),Lockwood states that mortality probabilities come from the 2003 U.S. Social Security Administration life table and are adjusted so the maximum possible age is 110.,supported,This is one of the cleanest citations in the block.
02_model_calibration_audit.md,`paper/main.tex:134`,The health-mortality correlation is the mechanism behind the Reichling-Smetters result: a negative health shock lowers annuity value and raises the value of liquidity.,`reichlingsmetters2015`,"Reichling and Smetters (2015), *Optimal Annuitization with Stochastic Mortality and Correlated Medical Costs*",[Reichling_Smetters2015.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Reichling_Smetters2015.txt),"The paper says negative health shocks make mortality stochastic, reduce the remaining present value of annuities, and simultaneously raise correlated medical-cost risk.",supported,The manuscript fairly represents the core result and the gateway-mechanism interpretation.
02_model_calibration_audit.md,"`paper/main.tex:138, 145, 304`","O'Dea and Sturrock show survival pessimism, with subjective survival to 75 around 0.71 versus actuarial 0.86; the model's `psi = 0.981` matches that gap.",`odeasturrock2023`,"O'Dea and Sturrock (2023), *Survival Pessimism and the Demand for Annuities*",[ODea_Sturrock2023.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/ODea_Sturrock2023.txt),The paper reports that early-60s respondents underestimate survival to 75 by roughly 15-20 percentage points and constructs subjective survival curves from those reports.,supported,"The 10-year-to-one-year conversion used for `psi` is the authors' own calibration, but it is a reasonable transformation of the cited gap."
02_model_calibration_audit.md,"`paper/main.tex:154, 306-308, 345`",The medical-expenditure process matches Jones et al.'s moments: spending rises from age 70 to 100 and the upper tail is very fat.,`jones2018`,"Jones, De Nardi, French, McGee, and Kirschner (2018), *The Lifetime Medical Spending of Retirees*",[Jones_etal2018.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Jones_etal2018.txt),"Jones et al. report annual combined spending of about 5.1k at age 70 and 29.7k at age 100, with a 95th percentile near 111.2k; they also report OOP spending around 4.2k at age 70.",partially supported,"The manuscript mixes the out-of-pocket series with the combined-with-Medicaid series. The age-100 29.7k and 111.2k figures are for combined spending, not pure OOP."
02_model_calibration_audit.md,"`paper/main.tex:156, 309`","The consumption floor is calibrated to the SSI federal benefit rate plus average state supplement, using Lockwood's 6,180 floor.",`lockwood2012`,"Lockwood (2012), Medicaid/consumption-floor calibration",[Lockwood2012.txt](/Users/derektharp/Documents/_Projects/26.29%20Annuity%20Puzzle%20Simulation/potential%20references/Lockwood2012.txt),"Lockwood assigns nursing homes and assisted living a consumption value of 6,180 based on SSI payments to single elderly people and uses the same value for the Medicaid nursing-home floor.",partially supported,"The 6,180 amount is supported, but the manuscript's ""federal benefit rate plus average state supplement"" decomposition is more specific than the cited text."
